date,log-diff-小麦,log-diff-玉米,log-diff-玉米的功效与作用
20190101,0.039524044747592364,-0.023517627480142,-0.04503781455088159
20190102,0.13311007389067278,0.1885738758007876,0.11352930723565285
20190103,0.029787890756621006,0.10311234421701118,0.07625497075989134
20190104,-0.0007160759346440843,0.04683940541525623,-0.07125245907691967
20190105,-0.05144411257650998,0.00707550121620028,-0.005002511682971799
20190106,-0.001509434248854292,-0.06013512158638561,0.0030045090202987217
20190107,0.06788450319372691,0.054242352619234734,0.03729578474369693
20190108,0.013319509917489113,-0.0255400953218998,0.027555187575919345
20190109,-0.0013937284486038029,-0.004050228299022815,0.0018726597232918325
20190110,-0.021854941057104758,-0.03216772199554892,-0.022706746626133863
20190111,-0.03776774214226207,-0.026758869887452262,-0.05003495774233736
20190112,-0.023213322379782304,-0.02970948083363044,-0.062260768427731365
20190113,-0.04572667961549697,0.019324272826402842,0.015932360381085146
20190114,0.10170594735739827,0.024491020008295696,0.028053787803164715
20190115,-0.029809550008516508,-0.02275264495079209,-0.01757151152965427
20190116,-0.014870162479451391,0.03498650350175639,-0.023207792645016004
20190117,0.017081737284291444,-0.024189594471113143,0.005321992337940893
20190118,0.010985097649329574,-0.1448867355728208,-0.09107288532880962
20190119,-0.0962574600879346,-0.04623632768972784,-0.015231694595499006
20190120,-0.02517388315392415,-0.03223528775176731,-0.005920680409727678
20190121,0.09635628316506016,0.0684914926847713,-0.07648609455868934
20190122,-0.028789867178667206,0.0517946731897308,0.04634517517636552
20190123,0.025048747963063767,-0.0019065782705815317,-0.0222781490937282
20190124,-0.02044751285134708,-0.06352122705187367,0.11680912253592494
20190125,0.02568116965745657,-0.044174498243734164,-0.1894740235844405
20190126,-0.08884343857076703,-0.11711906909590432,-0.0203949965210732
20190127,0.29073364637917937,-0.07631608787288177,0.019048194970694408
20190128,-0.14888324463357286,0.13827512011312287,-0.13700294866647986
20190129,-0.09100545560987552,-0.07579383936953367,0.043846781542063576
20190130,0.004636793469801304,-0.07089829385453868,-0.13099867704523865
20190131,-0.005411686960726133,-0.0296953525263989,0.04291087368687055
20190201,-0.03872471215111057,-0.114105946438856,-0.07547587636502967
20190202,-0.08051286921626716,-0.06273834063342336,-0.09496180843692774
20190203,-0.04465027373773882,-0.016929062100447968,-0.13298419698843408
20190204,-0.059255696209093135,-0.1735793932980887,-0.3978356433070076
20190205,-0.11379390978620114,0.000966650631094974,0.07828722132929143
20190206,0.16479646423857394,0.13449710974448165,0.24930437735288186
20190207,0.02724964244737554,0.1200327553903989,0.04811924834419835
20190208,0.015118118086750124,-0.06498806036743872,0.20006038113133626
20190209,0.0,0.09013731482153768,0.007299302481611534
20190210,0.03554773936003535,0.030218126564365157,-0.0036429912785010924
20190211,0.10425257673680338,0.12944794265389292,0.0
20190212,0.05958575453991316,0.14305933177865274,0.2490816048626493
20190213,0.3123217763889298,0.07283509392743492,0.036316840197993285
20190214,-0.08154295064123998,-0.04201437597252168,0.035044017240366536
20190215,-0.08191012184833184,0.06532314259798915,-0.006644542718668613
20190216,-0.06832553746151859,-0.11796687608341108,0.1239859797809911
20190217,-0.09584401139314,-0.01165061721997525,0.016355504772080528
20190218,0.1547798085048195,0.25521306869656346,0.14031597296174464
