date,index,棕榈油结算价
20110104,0.20828238269773172,0.006581152748465994
20110105,0.040933408926253086,-0.0014417656490749522
20110106,0.08086507614093569,0.016347578210591008
20110107,-0.1093415765818936,-0.0037811023615986366
20110110,0.2801773467977133,-0.0030890129656290194
20110111,-0.053674956722038016,6.725401845301741e-05
20110112,0.16579225484274404,-0.006257135564205804
20110113,-0.0911521696556612,0.0033273966398089426
20110114,-0.1488627033713115,-0.0002866996671997828
20110117,0.2497911987403845,-0.0006074001772732271
20110118,-0.059672331486398326,-0.0922247015890814
20110119,-0.111130455935356,0.09078909665738277
20110120,0.109511022383053,0.0013343356904562073
20110121,-0.15388059204708834,-0.001841512249484289
20110124,0.3817953640222596,0.011483460225737492
20110125,-0.08755589102431964,-0.003181303332734685
20110126,-0.0887954987831312,-0.026234577946783615
20110127,-0.0017873105740957515,0.0043119435308143035
20110128,-0.09566802557661733,0.002379913973990119
20110131,-0.08786135579133426,0.009446476782355358
20110201,-0.01025650016718911,0.001743354960304021
20110209,0.3828940734724621,0.007195063602906146
20110210,0.020408871631207037,0.025511291615695684
20110211,0.04237922296886154,0.0006708170311845211
20110214,0.35132183253507976,0.0036733235867831325
20110215,-0.04734612059719831,-0.007885650443371571
20110216,0.12248576518328967,-0.012711230100919079
20110217,-0.11493855954790667,-0.006274425684059379
20110218,-0.06684694791667466,-0.005202838046015001
20110221,0.6071923277045155,-0.005568412883218319
20110222,0.07719567276554824,-0.0888436040577871
20110223,-0.048057294953779264,0.06209212025629361
20110224,-0.01342302033214066,-0.005961633219793887
20110225,-0.2278322809251152,-0.010616333407475975
20110228,0.5345098668043463,0.004601356789657885
20110301,-0.17412281301417354,-8.794997411147072e-05
20110302,0.5417544615911116,0.005175858770872512
20110303,-0.31343699818893656,0.005584364371898812
20110304,-0.14142617047153086,0.001738737766998973
20110307,0.3209077200801013,0.0030355354138775063
20110308,0.032157111634531436,-0.003330907628449681
20110309,0.058985155021015964,-0.010990561692855328
20110310,0.014218249002279172,-0.007618950102121706
20110311,-0.15356261747570396,-0.0017896858651778207
20110314,0.1677122681007048,-0.015244006938535143
20110315,-0.014581060275292103,-0.09572084559299102
20110316,-0.07495570921763126,0.07254829949623835
20110317,-0.043133370817575616,0.0019332928146743472
20110318,0.060138358738533314,0.007896778822254678
20110321,0.3863028451300003,0.008558942318797915
20110322,-0.008500354765392492,0.007355360364943631
20110323,0.08975152180049739,-8.981256124516634e-05
20110324,-0.0123389114537152,-0.007102712294342105
20110325,-0.09587467318651753,0.0021866622369612265
20110328,0.2093343560400233,-0.0017887314716625627
20110329,0.11171341025555792,-0.0031153237417987237
20110330,-0.08880290073502585,0.006995879830237591
20110331,-0.13434065057918387,-0.0015684580948725805
20110401,-0.010416760858255715,0.007961009941149677
20110406,0.17874373544607067,0.0021991980899854673
20110407,0.08581591958485613,-3.5720664408153796e-05
20110408,-0.07393929542227702,0.002087515812262693
20110411,0.5950859673837305,0.018139124491467665
20110412,-0.13961043870090475,-0.008295739791013787
20110413,-0.11430477128005866,-0.008507521935337665
20110414,0.08961215868968714,-0.0037806554171357647
20110415,-0.05254721304714431,-0.0038667454777197062
20110418,0.3499623237854769,-0.00395378190596783
20110419,0.08897388342955116,-0.09083458905683023
20110420,-0.07175328567788074,0.0902581890192567
20110421,-0.032220879011163106,0.0003963107127817662
20110422,0.04674897957407282,0.004904832909122617
20110425,0.3788980807234426,0.0012537839044589635
20110426,-0.08841095734405308,-0.0037660775131075253
20110427,0.09988335850628992,-0.0027347983939463496
20110428,-0.1830823023612637,0.002213604668822553
20110429,-0.003048782849358593,-0.00877515381031765
20110503,0.4579481706313037,0.0024995484848584154
20110504,-0.07018263962254019,-0.0028804628653541415
20110505,-0.0470060423759306,-0.00347118450475366
20110506,0.03803737239317024,-0.012493750848326969
20110509,0.4036419535466493,-0.0019005273685644619
20110510,0.06133998059935548,0.004386052771553608
