date,log-diff-棕榈,log-diff-棕榈树,log-diff-棕榈油的危害,log-diff-起酥油
20190101,0.10997485320857173,-0.0674954916214478,0.14145048372347002,0.010676257991341854
20190102,0.2676050514100569,-0.04331887471884235,0.04791335569589745,0.2085239291879788
20190103,-0.01206911201749693,0.032033488487175736,0.020261185139821933,-0.09804379779320643
20190104,-0.02458420563053853,-0.09657200962474703,-0.032026026719408435,0.10947249361682927
20190105,-0.14618251017808145,-0.03533936644530885,0.032026026719408435,-0.02153708514438388
20190106,-0.004123717183862041,0.04776188644386602,0.01139613473086958,0.0
20190107,0.13507978003065216,0.03900965363371359,0.0,0.002898552754011257
20190108,0.009878841004696036,0.01049878409821957,-0.07650788603604335,-0.01604702559751756
20190109,-0.01985624803669504,0.028315920117287858,0.04485056616535171,0.1255955753931771
20190110,-0.08958367231329477,-0.11556468583206808,0.05129329438755048,-0.08949057075106087
20190111,0.011893103513952069,-0.05715841383994864,0.051432173632270685,-0.03610500464211632
20190112,-0.10153641921942284,-0.003021150334176211,-0.07674998161656059,-0.054394072065798806
20190113,0.024772403007584636,0.13692954579068545,-0.14047444685845425,0.02454110891611766
20190114,0.0982073329654777,0.08348714426710005,0.09679938335579268,0.06453852113757116
20190115,-0.09608193365316432,-0.04340420906359749,-0.06771817405495087,0.03626617798439435
20190116,0.13114000049244692,-0.12111557861206396,0.08541775115435178,-0.0013708021337787144
20190117,0.008344971932180688,0.0488582863807053,-0.02366974408590473,0.07018100853665286
20190118,-0.10198057696617324,0.07605236319991023,0.02658945418923944,-0.15457702816029936
20190119,-0.04925039275775028,-0.08426034361773985,0.0230557762999258,0.03950769837551206
20190120,0.05129329438755048,0.06770999767406227,-0.020144566092467463,0.004294924282880871
20190121,0.09808924597459068,0.15543355364014744,-0.10084874519416416,0.10949481479628123
20190122,0.024670049668020843,-0.01773882433738163,0.06834957780120965,-0.185142433135596
20190123,0.017002646732547203,-0.10486349775495073,-0.04924071610316324,-0.037681066967688484
20190124,-0.05003317240902905,0.05791727007311581,-0.058458200486594177,-0.00964637705180545
20190125,-0.06354399097106278,-0.12071817131214613,0.11069741958601392,-0.14397111161379408
20190126,-0.04368393886155901,0.06652068234156243,-0.0585683541510673,0.17577029330673288
20190127,0.04666160855548348,0.11337288517883072,-0.058840500022933465,-0.06966378731218502
20190128,0.07446186676760055,-0.09497874302285636,-0.010152371464017963,-0.04110167568555192
20190129,-0.0009203866273286727,0.006056953708189903,0.02353049741019404,-0.041040549870267264
20190130,-0.0120427578631823,0.08004270767353636,-0.07232066157962612,0.005449604767564685
20190131,-0.1603831711765484,-0.0970954960562558,0.041964199099032214,0.05635293655113178
20190201,0.03123571117930745,-0.013605652055778598,-0.05273629608094323,-0.10080469912196564
20190202,-0.16195767476694298,0.013605652055778678,-0.05186347400957401,0.08178943300847807
20190203,-0.1918430519295063,-0.07922404205270049,-0.00380952841666773,0.008688151957637823
20190204,-0.2947563818943181,-0.1229492832939857,-0.5444639829148206,-0.17955721501980473
20190205,0.15906469462968728,0.07389312630479146,0.1119179162039854,-0.1835645650335516
20190206,0.4852416105358854,0.32503436736934244,0.3022808718729337,0.18975653528147265
20190207,0.025237932589862757,0.004028202828604788,-0.1910552367627092,0.15061710724594715
20190208,-0.07658727921811623,-0.004028202828604776,0.2501441531327157,-0.06962518260507859
20190209,0.030907537463076708,0.0050327232546101995,0.13045288839743524,0.06962518260507855
20190210,0.034191364748279336,-0.0030165935394256787,0.010733555643108631,0.07005425492287358
20190211,0.09893233608558588,0.019940840203510696,0.02112754642587528,0.04042587647189881
20190212,0.03275912961692968,0.022450918570745087,0.1811594416137772,0.007892700798908983
20190213,0.05639077735487495,0.03602285224938166,0.02014456609246749,0.05951412753240772
20190214,0.01640088553941673,-0.02928882006803755,-0.034786116085415535,-0.10125373370517292
20190215,0.0541573397761719,0.0047824098802150975,-0.0734274685548172,0.033846905373856234
20190216,-0.16830828085103205,-0.02414409892936096,0.09386613623209128,0.11795910749414795
20190217,0.010501289820663234,-0.012789156116321336,-0.10343558724824192,0.10929642177906483
20190218,0.1650797503594486,0.031191612478007117,0.019048194970694408,0.0870113769896297
20190219,-0.0605743010213557,0.0450357529098771,-0.05162436540530718,0.1105553325349303
20190220,-0.020744045483728345,0.0009170106098814064,0.08866563708565631,-0.2695402091496493
20190221,0.044413789569633134,-0.0354514736990953,0.006042314455962662,0.1863838508028335
20190222,-0.002509411605425807,-0.04466761941541319,-0.036813973122716316,-0.15696996559654014
